Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2004-08-19,2.50194096565247,2.59469786448772,2.39272704057462,2.49346372993639,893181924
2004-08-20,2.70066976547241,2.71987010566918,2.50593065235825,2.51864757569059,456686856
2004-08-23,2.72784900665283,2.82958224868105,2.7191218606077,2.76151112717823,365122512
2004-08-24,2.61489462852478,2.78270541841587,2.58248015789146,2.77372883667601,304946748
2004-08-25,2.64307165145874,2.69294089204363,2.59021037521746,2.6171396463546,183772044
2004-08-26,2.69069600105286,2.69169350465312,2.60965875155361,2.61688952425779,141897960
2004-08-27,2.64681100845337,2.70839990580855,2.63534173655034,2.69543378464576,124235640
2004-08-30,2.54358220100403,2.63035455514547,2.54358220100403,2.62511855247995,103935960
2004-08-31,2.5525586605072,2.58597063529245,2.54732265760463,2.55081308864893,98357544
2004-09-01,2.49969744682312,2.56751961430399,2.48523495126716,2.5607869995446,182765052
2004-09-02,2.53111481666565,2.55255888854248,2.46703298656904,2.47326649359856,302373324
2004-09-03,2.49371314048767,2.53684976656732,2.47650756941824,2.51715126795979,103048848
2004-09-07,2.53286027908325,2.5433332356005,2.48373934309782,2.51864769362497,116950932
2004-09-08,2.5508131980896,2.56901508528215,2.50593076177384,2.51191507077878,99712188
2004-09-09,2.5510618686676,2.56103571587693,2.51839843959197,2.55654801913687,81234684
2004-09-10,2.62636518478394,2.65703503495105,2.5258783978997,2.53335931848072,173977848
2004-09-13,2.68047308921814,2.70316386028493,2.65454108485848,2.65877958415571,156882960
2004-09-14,2.77996253967285,2.79267946368608,2.66276928599753,2.6792267892066,216579204
2004-09-15,2.79267930984497,2.8482836603088,2.74779687555828,2.75677345743858,214261524
2004-09-16,2.84179997444153,2.88743047269518,2.78395166215177,2.80115628088244,185326488
2004-09-17,2.92957019805908,2.92957019805908,2.83132832771591,2.85302064581171,189450360
2004-09-20,2.97619819641113,3.0320515086437,2.91161726221437,2.91610590961941,212575212
2004-09-21,2.93829774856567,3.00262948886784,2.93006947180252,2.98741868651357,144575280
2004-09-22,2.9517617225647,2.98392818586224,2.91261463429763,2.92732632814611,151624224
2004-09-23,3.01260304450989,3.05773443855782,2.91785042139101,2.96323196339023,170713116
2004-09-24,2.98791742324829,3.0943885129015,2.98617185145686,3.0155949986222,182469348
2004-09-27,2.94876933097839,3.01409832797893,2.93729982226691,2.98118475054732,141322536
2004-09-28,3.1632080078125,3.17667228653461,2.99739222495369,3.02457164301987,338581080
